;;;;;;;;;;;;;;;;;;;;
;"SIMULADOR DA PRODUÇÃO INTEGRADA (PRODI)
PEPAC";;;;;;;;;;MANEIO DE PASTAGEM PERMENTE;;;;TOTAL;;;;;
;CULTURA;;;MONTANTE DA INTERVENÇÃO PRODI;CUMULAÇÃO DO ENRELVAMENTO;;CUMULAÇÃO DO UEA (classe regante);;CUMULAÇÃO PFO;;Área;Espécie;Nº Animais;Subtotal de MPP;;;;;;
;POMOIDEAS;REGADIO;40;4.400,00 €;1;3.160,00 €;2;3.520,00 €;1;2.000,00 €;30;9;;0,00 €;13.080,00 €;;;;;
;;SEQUEIRO;;0,00 €;;0,00 €;;;;0,00 €;;;;;0,00 €;;;;;
;;;;;;;;;;0,00 €;;;;;;;;;;
;CITRINOS;REGADIO;;0,00 €;;0,00 €;3;0,00 €;0;0,00 €;;;;;0,00 €;;;;;
;;SEQUEIRO;;0,00 €;;0,00 €;;;0;0,00 €;;;;;0,00 €;;;;;
;;;;;;;;;;;;;;;;;;;;
;OLIVAL;REGADIO;30;3.690,00 €;1;2.370,00 €;2;2.220,00 €;1;1.500,00 €;;;;;9.780,00 €;;;;;
;;SEQUEIRO;;0,00 €;;0,00 €;;;;0,00 €;;;;;0,00 €;;;;;
;;;;;;;;;;;;;;;;;;;;
;FRUTOS_SECOS;REGADIO;80;3.920,00 €;;0,00 €;4;0,00 €;1;4.000,00 €;;;;;7.920,00 €;;;;;
;;SEQUEIRO;;0,00 €;;0,00 €;;;;0,00 €;;;;;0,00 €;;;;;
;;;;;;;;;;;;;;;;;;;;
;VINHA;;;0,00 €;;0,00 €;3;0,00 €;;0,00 €;;;;;0,00 €;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Espécie;;;;;;;;
;;;;;;;;;;;;1;Equídeos >6meses;;;;;;;
;;;;;;;;;;;;2;Bovinos >2anos;;;;;;;
;;;;;;;;;;;;3;Bovinos<2anos;;;;;;;
;;;;;;;;;;;;4;Bovinos<6meses;;;;;;;
;;;;;;;;;;;;5;Ovinos>1ano;;;;;;;
;;;;;;;;;;;;6;Caprinos>1ano;;;;;;;
;;;;;;;;;;;;7;Porcas.reprod>50kg;;;;;;;
;;;;;;;;;;;;8;Suínos>3mese;;;;;;;
;;;;;;;;;;;;9;Galináceos;;;;;;;
;;;;;;;;;;;;10;AvesCapoeira;;;;;;;
